대륙,국가,성별,총합계,0세-4세,5세-9세,10세-14세,15세-19세,20세-24세,25세-29세,30세-34세,35세-39세,40세-44세,45세-49세,50세-54세,55세-59세,60세-64세,65세-69세,70세-74세,75세-79세,80세이상
남아메리카주,엘살바도르,남성,401,2,2,6,7,24,43,84,59,60,37,32,18,11,6,7,2,1
남아메리카주,엘살바도르,여성,438,2,2,4,20,37,92,75,61,38,34,19,19,16,8,7,3,1
남아메리카주,온두라스,남성,410,1,3,10,14,27,36,83,52,56,28,28,24,25,6,8,7,2
남아메리카주,온두라스,여성,404,2,1,3,8,46,56,76,53,48,33,32,14,14,9,8,1,0
남아메리카주,파라과이,남성,380,3,5,2,4,22,40,71,60,65,31,29,25,7,7,7,2,0
남아메리카주,파라과이,여성,420,2,6,1,14,46,72,69,58,52,29,19,16,20,10,2,1,3
남아메리카주,세인트크리스토퍼네비스,남성,470,2,8,13,9,20,29,52,73,76,69,42,29,35,7,3,0,3
남아메리카주,세인트크리스토퍼네비스,여성,253,8,8,20,20,21,23,18,36,48,21,15,6,2,5,1,0,1
남아메리카주,자메이카,남성,240,1,1,0,8,14,27,37,32,23,44,20,16,6,7,1,1,2
남아메리카주,자메이카,여성,369,1,0,2,10,36,71,100,31,46,22,18,12,8,7,4,1,0
남아메리카주,도미니카연방,남성,402,7,6,8,6,59,27,28,56,51,46,29,49,18,8,4,0,0
남아메리카주,도미니카연방,여성,145,3,2,5,7,15,14,18,22,15,17,8,13,5,1,0,0,0
남아메리카주,볼리비아,남성,212,1,1,2,5,22,23,30,35,27,21,12,15,11,2,4,1,0
남아메리카주,볼리비아,여성,295,1,1,1,15,31,48,46,54,26,18,16,15,8,5,7,0,3
남아메리카주,트리니다드토바고,남성,172,0,1,0,3,0,15,30,26,17,15,20,11,17,13,2,2,0
남아메리카주,트리니다드토바고,여성,252,2,1,3,4,25,31,27,40,21,19,15,18,25,14,5,0,2
남아메리카주,니카라과,남성,144,0,0,0,3,8,24,22,31,16,20,6,3,6,4,0,1,0
남아메리카주,니카라과,여성,135,0,0,2,10,19,24,24,16,7,10,6,9,4,3,1,0,0
남아메리카주,그레나다,남성,119,2,4,0,9,8,12,7,22,12,10,11,15,2,5,0,0,0
남아메리카주,그레나다,여성,112,1,7,11,8,8,2,6,28,14,7,1,10,8,1,0,0,0
남아메리카주,쿠바,남성,133,0,0,0,2,12,20,24,12,10,11,11,12,11,5,3,0,0
남아메리카주,쿠바,여성,81,1,1,0,1,9,7,16,4,4,1,11,17,3,3,3,0,0
남아메리카주,바하마,남성,46,1,0,0,3,2,4,7,9,4,3,4,2,4,3,0,0,0
남아메리카주,바하마,여성,88,2,0,0,4,5,14,10,6,7,5,5,7,13,7,1,2,0
남아메리카주,세인트루시아,남성,75,0,1,1,1,1,8,11,8,10,11,3,13,2,4,0,1,0
남아메리카주,세인트루시아,여성,58,0,1,0,3,1,3,13,13,5,7,3,7,2,0,0,0,0
남아메리카주,앤티카바부다,남성,63,0,0,3,3,2,3,2,4,11,12,10,2,8,0,3,0,0
남아메리카주,앤티카바부다,여성,67,1,3,1,7,4,13,8,10,1,11,2,3,0,3,0,0,0
남아메리카주,가이아나,남성,59,0,0,0,1,4,4,14,9,12,4,4,2,2,3,0,0,0
남아메리카주,가이아나,여성,71,3,1,7,6,2,8,8,3,13,9,3,1,6,0,1,0,0
남아메리카주,아이티,남성,63,2,1,0,0,3,21,8,9,9,7,2,1,0,0,0,0,0
남아메리카주,아이티,여성,42,1,0,0,2,9,16,6,3,1,0,0,3,1,0,0,0,0
남아메리카주,수리남,남성,48,2,0,0,0,5,5,11,4,1,4,6,5,4,0,1,0,0
남아메리카주,수리남,여성,50,0,0,1,1,4,10,7,6,4,2,5,5,4,0,0,0,1
남아메리카주,바베이도스,남성,36,0,1,0,1,1,4,3,4,6,1,5,3,7,0,0,0,0
남아메리카주,바베이도스,여성,49,0,0,1,1,2,4,5,4,5,4,9,4,6,2,1,1,0
남아메리카주,벨리즈,남성,31,0,0,0,0,3,6,5,4,4,2,1,4,1,1,0,0,0
남아메리카주,벨리즈,여성,35,0,0,0,0,4,8,9,4,6,1,0,0,2,1,0,0,0
남아메리카주,세인트빈센트그레나딘,남성,24,0,0,0,0,1,2,6,3,8,0,2,0,1,0,1,0,0
남아메리카주,세인트빈센트그레나딘,여성,13,0,0,0,0,0,3,2,4,2,1,0,0,1,0,0,0,0
유럽주,러시아 (연방),남성,69865,981,1720,2152,2661,5523,8992,10297,10752,8277,5899,4634,3256,2375,1354,707,228,57
유럽주,러시아 (연방),여성,89329,963,1868,3508,5060,11314,15020,12169,9900,7554,6380,5410,3563,2958,2039,1140,350,133
유럽주,프랑스,남성,79439,698,1012,1730,2927,11309,12359,10447,8250,6782,6041,6257,4725,3030,1718,1154,684,316
유럽주,프랑스,여성,77941,725,1040,2191,4759,16420,15842,9788,5035,4054,3921,4435,3441,2492,1717,1164,651,266
유럽주,독일,남성,82215,745,925,1153,2124,7302,10092,10613,9283,8027,6873,6537,7715,5189,2500,1681,830,626
유럽주,독일,여성,63981,717,883,1492,3536,10912,11802,8924,4823,3538,3089,3079,3485,2717,2020,1633,872,459
유럽주,독일,제3의성,4,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
유럽주,영국,남성,81120,675,958,1379,1979,5098,9510,11028,8991,7656,6771,6697,6188,5561,3856,2682,1516,575
유럽주,영국,여성,64470,638,865,1482,2352,6902,10591,8910,5346,4217,3823,3927,3990,4130,3433,2231,1184,449
유럽주,이탈리아,남성,32083,211,220,303,475,1605,3747,4947,4477,3598,3318,3361,2600,1627,852,423,212,107
유럽주,이탈리아,여성,25074,205,238,377,796,2944,4772,4587,2695,1866,1513,1627,1331,939,596,361,154,73
유럽주,스페인,남성,23745,188,205,326,485,1826,2785,3596,3305,2620,2682,2023,1534,1017,592,330,172,59
유럽주,스페인,여성,22333,190,185,414,706,3132,3828,3610,2220,1654,1617,1413,1266,911,628,349,155,55
유럽주,네덜란드,남성,24918,276,288,460,795,2781,3376,3383,2544,1953,1930,2159,2055,1478,803,356,206,75
유럽주,네덜란드,여성,19404,250,294,517,1061,3557,3521,2542,1252,1115,1138,1377,1103,751,446,293,134,53
유럽주,네덜란드,제3의성,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
유럽주,폴란드,남성,16781,116,154,278,536,1523,2299,2625,2258,2041,1784,1310,773,554,316,148,53,13
유럽주,폴란드,여성,17926,118,178,430,1013,2726,3336,2890,1774,1421,1308,1119,628,476,319,127,54,9
유럽주,폴란드,제3의성,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
유럽주,스위스,남성,13409,110,188,235,414,1390,1828,1786,1319,1080,993,1109,1123,772,472,294,196,100
유럽주,스위스,여성,11800,127,165,325,698,1786,2314,1633,745,517,629,750,717,560,356,239,167,72
유럽주,스웨덴,남성,11430,104,162,221,333,1045,1289,1497,1177,1083,1043,1070,998,744,356,176,87,45
유럽주,스웨덴,여성,8891,105,153,253,415,1318,1493,1114,698,637,570,675,616,347,246,146,74,31
유럽주,벨기에,남성,9666,81,115,189,266,979,1404,1358,936,845,826,827,761,571,261,139,64,44
유럽주,벨기에,여성,8884,88,124,213,519,1737,1884,1171,575,444,477,515,460,281,190,111,65,30
유럽주,덴마크,남성,8586,110,148,204,293,979,1156,960,613,686,752,880,800,530,233,133,76,33
유럽주,덴마크,여성,6644,91,140,226,458,1409,1246,650,381,345,390,455,322,196,149,98,63,25
유럽주,오스트리아,남성,8285,51,73,102,191,699,1200,1214,897,834,681,690,655,469,268,126,85,50
유럽주,오스트리아,여성,6521,60,65,116,332,1129,1311,1011,532,343,286,370,303,282,174,127,54,26
유럽주,포르투갈,남성,6113,57,65,73,126,421,848,1047,797,689,598,470,361,262,160,83,46,10
유럽주,포르투갈,여성,6606,58,97,134,242,680,1174,1124,695,527,460,438,331,275,210,100,50,11
유럽주,아일랜드,남성,7054,71,56,88,142,506,1068,1112,912,722,615,541,454,338,225,108,68,28
유럽주,아일랜드,여성,5193,50,66,92,131,628,1230,822,404,372,281,286,284,234,158,88,45,22
유럽주,노르웨이,남성,6749,59,90,137,198,630,947,833,650,596,508,685,616,373,224,119,62,22
유럽주,노르웨이,여성,5489,70,79,154,319,1030,1013,624,374,366,330,365,281,181,145,89,50,19
유럽주,루마니아,남성,5688,25,63,78,141,331,635,750,912,686,672,486,415,232,146,77,27,12
유럽주,루마니아,여성,5726,15,57,131,224,501,869,868,801,518,469,364,352,229,176,120,26,6
유럽주,핀란드,남성,5865,38,41,111,161,448,641,761,644,631,655,627,501,360,158,47,33,8
유럽주,핀란드,여성,5083,35,41,108,277,913,973,769,396,279,302,307,302,190,100,57,25,9
유럽주,체코,남성,5388,55,62,97,205,490,710,759,667,546,601,454,258,210,131,92,37,14
유럽주,체코,여성,4671,36,54,149,321,685,831,663,367,294,349,329,202,139,116,95,34,7
유럽주,우크라이나,남성,5253,25,28,37,173,404,724,785,885,701,480,377,247,248,104,23,9,3
