이름,세부카테고리,주소,위도,경도,전화번호,링크
독립밀방 청량리,음식점>양식,서울특별시 동대문구 왕산로 214 청량리역사 3층 308호,37.5805062,127.0485255,,http://www.instagram.com/dongnip_millbang
삼삼뼈국 회기점,음식점>한식,서울특별시 동대문구 망우로21길 52 C동 1층,37.5903946,127.0604232,,https://33soup.co.kr
영동교집 장안직영점,"음식점>한식>육류,고기요리>돼지고기구이",서울특별시 동대문구 천호대로83길 32,37.5633787,127.0652884,,https://www.instagram.com/mukyang2food
가치로아,음식점>일식>일식당,서울특별시 동대문구 망우로21길 63 1층,37.5900849,127.0596525,,https://www.instagram.com/gachiroa?igsh=YW5kNmc0YXd5Y3Zy
함경면옥,음식점>한식,서울특별시 동대문구 왕산로 87,37.5784620,127.0331421,,
싸다김밥 답십리역점,음식점>분식,서울특별시 동대문구 전농로 12,37.5659937,127.0559432,,https://ssadagb.com
더몰트하우스 청량리역점,음식점>양식>이탈리아음식,서울특별시 동대문구 고산자로32길 78 청량리역 한양수자인 그라시엘 2층 209호~211호,37.5774787,127.0438069,,https://www.instagram.com/the_malthouse_cheongnyang
뚜띠쿠치나 용두점,음식점>이탈리아음식,서울특별시 동대문구 무학로 140,37.5768289,127.0307459,,http://tutticucina.net/menu1.php
런치백,"음식점>카페,디저트",서울특별시 동대문구 왕산로9길 25 1층,37.5782277,127.0276529,,
베브릿지 한국외대점,"음식점>카페,디저트>카페",서울특별시 동대문구 휘경로 4-10,37.5959182,127.0603186,,https://www.worldbebridge.co.kr/
스시로로,"음식점>일식>초밥,롤",서울특별시 동작구 동작대로23길 29 1층,37.4841328,126.9801198,,https://blog.naver.com/mot202202
빕스 대방점,음식점>패밀리레스토랑,서울특별시 동작구 노량진로 2 VIPS 대방점,37.5122323,126.9257768,,http://www.ivips.co.kr/
청와옥 사당직영점,"음식점>한식>육류,고기요리>순대,순댓국",서울특별시 동작구 동작대로 71,37.4828555,126.9816559,,https://www.instagram.com/cheongwaok/
고반식당 이수역점,"음식점>한식>육류,고기요리",서울특별시 동작구 동작대로27가길 15,37.4868248,126.9812103,,
김재운 초밥사랑 이수점,"음식점>일식>초밥,롤",서울특별시 동작구 동작대로 69 1층,37.4827041,126.9816310,,
스시준 노량진점,음식점>일식>일식당,서울특별시 동작구 만양로14길 20 1층,37.5116733,126.9454208,,https://www.instagram.com/sushi_joon_noryangjin
김밥나라 남성역점,음식점>분식,서울특별시 동작구 사당로 196,37.4850459,126.9698243,,
삼삼가마솥돈까스앤칡불냉면 노량진본점,음식점>일식>돈가스,서울특별시 동작구 만양로 90-1 1층,37.5114974,126.9444414,,
신라스테이 구로 카페,음식점>뷔페,서울특별시 동작구 시흥대로 596 신라스테이구로 2층,37.4856425,126.9043083,,https://www.shillastay.com/guro/dining/viewDining.do?contId=CAFE
미쁘동 연남본점,음식점>일식>일식당,서울특별시 마포구 동교로38길 33-21 2층,37.5621119,126.9262048,,https://www.mibbedong.com/
우이락 망원본점,음식점>한식,서울특별시 마포구 포은로8길 22 우이락 망원본점,37.5564437,126.9059919,,https://wooyirak.com/main
프릳츠 도화점,"음식점>카페,디저트",서울특별시 마포구 새창로2길 17,37.5410245,126.9490444,,http://www.fritz.co.kr/
연남동 베르데,"음식점>멕시코,남미음식",서울특별시 마포구 동교로 262-6 1층,37.5628313,126.9254121,,https://www.threads.net/@mexicangrill_verde
츠케루,음식점>일식>일본식라면,서울특별시 마포구 와우산로23길 9 1층 102호,37.5533814,126.9245307,,http://instagram.com/tsukeru_tsukemen
랜디스도넛 연남점,"음식점>카페,디저트>도넛",서울특별시 마포구 동교로 247,37.5620628,126.9242188,,https://www.instagram.com/randysdonuts1952kr/
베이글랜드 홍대점,"음식점>카페,디저트",서울특별시 마포구 와우산로29바길 19 삼이빌딩 1층,37.5554909,126.9259638,,https://www.instagram.com/_bagelland/
오시 망원본점,음식점>일식>일식당,서울특별시 마포구 월드컵로17길 48 지 1층 오시 망원본점,37.5552402,126.9077398,,https://www.instagram.com/oshi_official.kr/
연남동와이탑,음식점>양식,"서울특별시 마포구 성미산로 163 2층, 3층",37.5649025,126.9242773,,https://www.instagram.com/yeonnamdong_ytop
하와이조개 홍대점,"음식점>한식>해물,생선요리>조개요리",서울특별시 마포구 와우산로21길 19-8 태경빌딩 지하 1층,37.5520582,126.9225911,,http://www.하와이조개.com
더기와 합정점,음식점>한식,서울특별시 마포구 독막로3길 25 1층,37.5495714,126.9169059,,https://litt.ly/thegiwa_hapjeong?utm_source=naver&utm_medium=place&utm_campaign=기본세팅
또보겠지떡볶이집 붕붕허니비점,음식점>분식,서울특별시 마포구 양화로19길 22-25 2층,37.5589783,126.9244242,,https://app.catchtable.co.kr/ct/shop/ddobogessji?from=share&type=WAITING
카페 공명 연남점,"음식점>카페,디저트",서울특별시 마포구 연희로 11 1층 카페 공명 연남,37.5600309,126.9264344,,https://cafegm.kr/
스케줄합정,음식점>양식,서울특별시 마포구 양화로6길 33 1층,37.5490726,126.9160549,,https://litt.ly/schedule_hapjeong
라헬의부엌 홍대점,"음식점>카페,디저트","서울특별시 마포구 와우산로29길 47 1,2층",37.5556936,126.9273613,,http://instagram.com/hd_rachelskitchen
아민 이화,음식점>양식,서울특별시 서대문구 이화여대길 52-31,37.5594661,126.9447562,,https://app.catchtable.co.kr/ct/shop/we.salad.you_0
카츠업,음식점>일식>돈가스,서울특별시 서대문구 연세로5길 32 1층 카츠업,37.5563150,126.9353168,,https://blog.naver.com/katsup
카라멘야,음식점>일식>일본식라면,서울특별시 서대문구 연세로7안길 34-1 1층,37.5582219,126.9348727,,http://www.instagram.com/karamenya_i
주재근베이커리,"음식점>카페,디저트>베이커리",서울특별시 서대문구 통일로 438,37.5881661,126.9452632,,
담산 신촌본점,음식점>한식,서울특별시 서대문구 연세로5다길 5 1층 담산 신촌본점,37.5562707,126.9350591,,https://www.instagram.com/damsan_shinchon
한술식당 신촌점,음식점>한식,서울특별시 서대문구 연세로4길 40 1층,37.5578833,126.9388417,,https://www.instagram.com/hansul_sinchon/
스시도쿠 현대백화점 신촌점,음식점>일식>일식당,서울특별시 서대문구 신촌로 83 신촌점 10층,37.5559008,126.9356172,,
부엉이산장 신촌점,음식점>술집>요리주점,서울특별시 서대문구 연세로7길 17 1층 부엉이산장 신촌점,37.5575962,126.9357628,,https://www.instagram.com/owlmtcabin_sinchon
키친31,음식점>일식>일식당,서울특별시 서대문구 연세로11길 5 6층,37.5588758,126.9364723,,https://app.catchtable.co.kr/ct/shop/kitchen31?from=share&type=DINING
그로어스,음식점>양식,서울특별시 서대문구 연희로27길 52,37.5723021,126.9333376,,https://catchtable.co.kr/growers
뽁식당 신촌점,음식점>양식,서울특별시 서대문구 연세로5나길 24 1층~4층,37.5570525,126.9348603,,https://app.catchtable.co.kr/ct/shop/bbok_sinchon
쿳사 연희,음식점>브런치,서울특별시 서대문구 증가로 48,37.5721602,126.9293336,,https://www.instagram.com/coottha_official
시그니처랩 현대백화점신촌점,음식점>양식,서울특별시 서대문구 신촌로 83 현대백화점 신촌점 10층 시그니처랩,37.5560172,126.9359432,,https://www.instagram.com/signature_lab/
더 리버사이드 호텔 뷔페 더가든키친,음식점>뷔페,서울특별시 서초구 강남대로107길 6 1층,37.5187347,127.0180825,,https://www.instagram.com/riversidehotel.korea/
카츠공방 서초본점,음식점>일식>돈가스,서울특별시 서초구 효령로52길 1 1층,37.4841795,127.0128280,,http://www.katsukb.com
트라가 강남역점,음식점>스페인음식,서울특별시 서초구 강남대로55길 24 2층 201호 트라가,37.4956249,127.0256890,,https://app.catchtable.co.kr/ct/shop/TragaGangnam
옥된장 양재점,음식점>한식,서울특별시 서초구 서운로6길 29 1층,37.4857415,127.0309945,,https://www.instagram.com/okdj9291/
은행골 강남역점,"음식점>일식>초밥,롤",서울특별시 서초구 서초대로75길 34 3층 은행골,37.5005766,127.0251701,,https://app.catchtable.co.kr/ct/shop/eunhaenggol_gangnam
김태완스시 방배본점,"음식점>일식>초밥,롤",서울특별시 서초구 효령로31길 21 1층 김태완스시 방배본점,37.4821413,126.9961546,,
