가맹점명,사용가능 지역화폐,시도명,시군구명,소재지도로명주소,데이터기준일자
(주)코리아세븐 목동유로점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동중앙북로 114(목동) (주)코리아세븐 목동유로점,2024-08-20
(주)코리아세븐 목동유로점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동중앙북로 114 (목동) (롯데택배) 세븐일레븐 목동유로점,2024-08-20
(주)코리아세븐 목동중앙본로점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 목동중앙본로1길 48, 1층 (목동)",2024-08-20
(주)코리아세븐 목동캐슬점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동중앙북로 38 (목동, 롯데캐슬위너아파트) (롯데택배) 세븐일레븐 목동캐슬점",2024-08-20
(주)코리아세븐 목동캐슬점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동중앙북로38 (목동) (주)코리아세븐 목동캐슬점,2024-08-20
(주)코리아세븐 세븐일레븐 신정중앙점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 신정중앙로23길 10, 1층 편의점(신정동)",2024-08-20
(주)코리아세븐 신월시장점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 남부순환로40길 49(신월동) 세븐일레븐 신월시장점,2024-08-20
(주)코리아세븐 신월지양로점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 지양로 63(신월동) 세븐일레븐 신월지양로점,2024-08-20
(주)코리아세븐 신월하나점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 남부순환로66길 17 (신월동) (롯데택배) 세븐일레븐 신월우성점,2024-08-20
(주)코리아세븐 신월하나점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 남부순환로66길 17(신월동) (주)코리아세븐 신월우성점,2024-08-20
(주)코리아세븐 신정신서점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 은행정로 49 (신정동) (롯데택배) 세븐일레븐 신정신서점,2024-08-20
(주)코리아세븐 신정신서점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 은행정로 49(신정동) (주)코리아세븐 신정신서점,2024-08-20
(주)코리아세븐 신정은행길점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 은행정로7길 10 세븐일레븐 신정은행길점,2024-08-20
(주)코리아세븐 양천목동7단지지점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 오목로 279, 107-108호 (목동, 현대프라자) (롯데택배) 세븐일레븐 신월3호점",2024-08-20
(주)코리아세븐 양천목동7단지지점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 오목로 279, 107-108호 (목동, 현대프라자) (주)코리아세븐신월3호점",2024-08-20
(주)코리아세븐 어바니엘염창점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 공항대로 630 (목동, 어바니엘) (롯데택배) 세븐일레븐 어바니엘염창",2024-08-20
(주)코리아세븐 어바니엘염창점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 공항대로 630(목동, 어바니엘염창 1층 104호) (주)코리아세븐 어바니엘염창",2024-08-20
(주)코리아세븐S목동역점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울  양천구  목동 925  B1.X14-16 (주)코리아세븐 S목동역점,2024-08-20
(주)코리아세븐S목동역점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 오목로 245 (롯데택배) 세븐일레븐 S목동역점,2024-08-20
